"";"ref_num";"access_num";"DOI";"authors";"title";"abstract";"keywords";"year";"journal";"WOS_categories";"big_taxa";"taxa";"matched_canonical";"superkingdom";"kingdom";"phylum";"subphylum";"superclass";"class";"subclass";"infraclass";"superorder";"order";"suborder";"infraorder";"superfamily";"family";"subfamily";"tribe";"genus";"species";"infraspecies"
"1";"REF0001";"WOS:000467513500004";"10.1016/j.biocon.2019.02.015";"Hauser, CE ; Southwell, D ; Lahoz-Monfort, JJ ; Rumpff, L ; Benshemesh, J ; Burnard, T ; van Hespen, R ; Wright, J ; Wintle, B ; Bode, M";"Adaptive management informs conservation and monitoring of Australia's threatened malleefowl";"Monitoring is an essential component of adaptive management, and a carefully designed program is needed to ensure high-quality data and inferences over realistic time scales. Co-operation among agencies and incorporating citizen science may help enhance learning while reducing the financial costs of monitoring. We seek to realise this potential while conserving the Australian malleefowl (Leipoa ocellata). An established network of citizen scientists provide low-cost, sustainable annual monitoring data, yet the most effective actions for conserving malleefowl remain highly uncertain. The continent-wide species' distribution presents significant challenges, including multiple environmental strata to sample and numerous management jurisdictions. We outline an adaptive management framework that aims to unify malleefowl conservation priorities nationally, and target monitoring efforts. We elicited a model structure for the drivers of, and threats to, malleefowl persistence in a workshop with land managers and advocates. We parameterised 80 uncertain interactions within this structure using novel ensemble modelling techniques and identified the effectiveness of predator control as a critical uncertainty affecting malleefowl persistence. We developed a classical, spatially replicated experimental design to test whether malleefowl breed more frequently where predators are suppressed. The proposed monitoring design will rely on the contributions of several dozen land managers and 200-300 citizen scientists annually. We have developed a broad stakeholder base, a proactive communication strategy, and an agile approach to accessing resources to foster resilience and longevity in the monitoring program. If malleefowl conservation successfully adapts in response to monitoring outcomes, it will become one of the largest adaptive management programs on the planet.";"Citizen science; Leipoa ocellata; Feral predator; Structured decision making; Stakeholder engagement; Ensemble modelling; Statistical power";2019;"BIOLOGICAL CONSERVATION";"Biodiversity Conservation; Ecology; Environmental Sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"REF0002";"WOS:000467584200016";"10.1002/ece3.5114";"Harmange, C ; Bretagnolle, V ; Sarasa, M ; Pays, O";"Changes in habitat selection patterns of the gray partridge Perdix perdix in relation to agricultural landscape dynamics over the past two decades";"Changes in agricultural practices have reshaped agricultural landscapes and triggered a drastic decline in spatial and temporal heterogeneity leading to changes in habitat quality and food resources for birds. However, the precise relationships between landscape changes, spatial and temporal heterogeneity, and habitat preferences in response to those changes remain poorly known. We investigated patterns of habitat selection and causes for changes over the years 1997-2017 for the gray partridge Perdix perdix, an iconic farmland species which has experienced a severe decline since the 1950s. Using a long-term (1997-2017) dataset collected over 435 km(2), we modeled relationships between annual land-cover maps and partridge sightings over 17 5-year moving windows, assessing the effects of landscape metrics, the strength of the relationships, and the dynamics of habitat suitability. We detected a shift in gray partridge habitat preferences over time, toward more risky habitats. Avoidance of predator reservoirs (woodlands and buildings) has weakened, and selection of human infrastructure, such as roads and tracks, has increased. Since 1997, the mean size of suitable patches has also decreased by about 26%. We have interpreted these changes in habitat selection as being the result of decreasing habitat quality and the increasing prevalence of captive-reared birds, currently released in their thousands in the study site. Synthesis and applications. The gray partridge has not adjusted well to changes in farming practices, and the low, still decreasing, population density suggests that it is not sustainable, despite local initiatives and the investment in captive-bird releases. We emphasize that efforts must be redirected toward habitat improvement to restore the density of refuge cover, insects, and seeds in the landscape, hunting management to ensure self-sustainable populations and massive releases of high-quality birds. Only integrated local management, involving hunters, farmers, gamekeepers, and scientists can ensure the recovery of this species.";"agricultural landscapes; farmland birds; gray partridge; habitat quality; habitat selection; habitat suitability maps; long-term trends; Perdix perdix";2019;"ECOLOGY AND EVOLUTION";"Ecology; Evolutionary Biology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"REF0003";"WOS:000466181900001";"10.1007/s00265-019-2672-1";"Szasz, E ; Marko, G ; Hegyi, G ; Torok, J ; Garamszegi, LZ ; Rosivall, B";"Nest-site defence aggression during courtship does not predict nestling provisioning in male collared flycatchers";"Individuals of many animal species show consistent differences in ecologically relevant behaviours, and these individual-specific behaviours can correlate with each other. In passerines, aggression during nest-site defence is one of those behaviours that have been steadily found to be repeatable within individuals. Furthermore, in several cases, aggression was related to some estimates of reproductive investment. Here, we studied the possibility that behaviour of males toward a male rival predicts the amount of their future parental care. This could be beneficial to the females, because during mate choice, they could use male aggressive behaviour as a cue for parental quality. We performed the study by video recording the nestling feeding activity of male collared flycatchers (Ficedula albicollis) that were assayed for aggression during the courtship period. The level of aggression was not related to feeding rate in males. Feeding rate of males differed between the study years, but it did not correlate with the feeding rate of their mates, neither was it related to the morphological traits of the parents. We may conclude that nest-site defence aggression of males does not predict their parental commitment. This may be surprising given that higher testosterone levels that may be expected in aggressive males often suppress parental care. However, among-individual variance in male testosterone profiles found to be decrease from the courtship to the parenting period in flycatchers, and this may explain why differences in territorial aggression did not manifest in differences in nestling provisioning. The correlation between behaviours that are expressed in distinct periods of the annual cycle of songbirds needs further investigation.Significance statementMale songbirds, when attracting mates, are often confronted with each other over nest-sites, and these male-male confrontations may be witnessed by females. If performance during territory defence predicts the quality of parental care that a male will provide for its nestlings, females could use defence behaviour as a cue for mate choice. To explore this possibility, we investigated the relationship between territorial aggression and nestling feeding activity of male collared flycatchers. We performed simulated territorial intrusions to measure the aggression of males and recorded their nestling feeding rate about a month later. We found that territorial aggression did not correlate with nestling feeding rate. This suggests that nest-site defence behaviour in the beginning of the breeding season does not carry information for females about what to expect from potential mates in terms of parental care.";"Animal personality; Behavioural syndrome; Nestling feeding; Male-male competition; Mate choice; Parental care";2019;"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY";"Behavioral Sciences; Ecology; Zoology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"REF0004";"WOS:000461410000061";"10.1016/j.jenvman.2019.01.085";"Cutting, KA ; Rotella, JJ ; Schroff, SR ; Frisina, MR ; Waxe, JA ; Nunlist, E ; Sowell, BF";"Maladaptive nest-site selection by a sagebrush dependent species in a grazing-modified landscape";"Animals are expected to select habitats that maximize their fitness over evolutionary time scales. Yet in human modified landscapes, habitat selection might not always lead to increased fitness because animals undervalue high-quality resources that appear less attractive than those of lower quality. In the American West, agriculture has modified landscapes, yet little is known about whether agricultural changes alter the reliability of the cues animals use to identify habitat quality; ultimately forming maladaptive breeding strategies where behavioral cues are mismatched with survival outcomes. Using the greater sage-grouse, a species highly dependent upon sagebrush landscapes, we (1) evaluated how females select nesting habitats based on sagebrush type, along with livestock grazing related linear and point features, and other biotic, abiotic characteristics, given hypothesized influences on hiding cover, microclimate and predator travel routes and perches, (2) compared habitat selection information with results for nest survival estimates to evaluate if selection appears to be adaptive or not, and (3) used our results to evaluate the most appropriate strategies for this species in a grazing-modified landscape. Nest-site selection for sagebrush type appears to be maladaptive: in the most-preferred sagebrush type, nest survival rate was one-fourth the rate realized by females nesting in the sagebrush type avoided. Nest survival was four times higher for nests placed away from (> 100 m), rather than next to (1 m), the nearest fence, and survival was lower within sites with higher cow pie density (a proxy for previous grazing intensity). Live and dead grasses influenced selection and survival in opposing ways such that dead grass was selected for but resulted in reduced survival while live grass was avoided but resulted in increased survival. Results collectively provide the first empirical evidence that a specific type of sagebrush acts as an ecological trap while another sagebrush type is undervalued. These results also suggest that adding more fences to control livestock grazing systems will likely reduce sage-grouse nest survival.";"Maladaptive selection; Grazing; Fences; Sagebrush; Sage-grouse";2019;"JOURNAL OF ENVIRONMENTAL MANAGEMENT";"Environmental Sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"REF0005";"WOS:000460487000006";"10.1098/rstb.2018.0115";"Groothuis, TGG ; Hsu, BY ; Kumar, N ; Tschirren, B";"Revisiting mechanisms and functions of prenatal hormone-mediated maternal effects using avian species as a model";"Maternal effects can adaptively modulate offspring developmental trajectories in variable but predictable environments. Hormone synthesis is sensitive to environmental factors, and maternal hormones are thus a powerful mechanism to transfer environmental cues to the next generation. Birds have become a key model for the study of hormone-mediated maternal effects because the embryo develops outside the mother's body, facilitating the measurement and manipulation of prenatal hormone exposure. At the same time, birds are excellent models for the integration of both proximate and ultimate approaches, which is key to a better understanding of the evolution of hormone-mediated maternal effects. Over the past two decades, a surge of studies on hormone-mediated maternal effects has revealed an increasing number of discrepancies. In this review, we discuss the role of the environment, genetic factors and social interactions in causing these discrepancies and provide a framework to resolve them. We also explore the largely neglected role of the embryo in modulating the maternal signal, as well as costs and benefits of hormone transfer and expression for the different family members. We conclude by highlighting fruitful avenues for future research that have opened up thanks to new theoretical insights and technical advances in the field. This article is part of the theme issue 'Developing differences: early-life effects and evolutionary medicine'.";"parental effects; phenotypic plasticity; context dependency; parent-offspring conflict; steroids; yolk hormones";2019;"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES";"Biology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"REF0006";"WOS:000463984600010";"10.1038/s41598-019-41336-5";"Alvarez-Fernandez, A ; Borziak, K ; McDonald, GC ; Dorus, S ; Pizzari, T";"Female novelty and male status dynamically modulate ejaculate expenditure and seminal fluid proteome over successive matings in red junglefowl";"Theory predicts that males will strategically invest in ejaculates according to the value of mating opportunities. While strategic sperm allocation has been studied extensively, little is known about concomitant changes in seminal fluid (SF) and its molecular composition, despite increasing evidence that SF proteins (SFPs) are fundamental in fertility and sperm competition. Here, we show that in male red junglefowl, Gallus gallus, along with changes in sperm numbers and SF investment, SF composition changed dynamically over successive matings with a first female, immediately followed by mating with a second, sexually novel female. The SF proteome exhibited a pattern of both protein depletion and enrichment over successive matings, including progressive increases in immunity and plasma proteins. Ejaculates allocated to the second female had distinct proteomic profiles, where depletion of many SFPs was compensated by increased investment in others. This response was partly modulated by male social status: when mating with the second, novel female, subdominants (but not dominants) preferentially invested in SFPs associated with sperm composition, which may reflect status-specific differences in mating rates, sperm maturation and sperm competition. Global proteomic SF analysis thus reveals that successive matings trigger rapid, dynamic SFP changes driven by a combination of depletion and strategic allocation.";NA;2019;"SCIENTIFIC REPORTS";"Multidisciplinary Sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"REF0007";"WOS:000464520200013";"10.3354/meps12910";"Poupart, TA ; Waugh, SM ; Bost, CA ; Kato, A ; Miskelly, CM ; Rogers, KM ; Arnould, JPY";"Foraging ecology of a winter breeder, the Fiordland penguin";"Breeding in most species is timed to coincide with the greatest availability of food resources to support the increased energetic needs of reproduction. Correspondingly, the majority (76%) of seabird species in temperate and polar regions breed in spring/summer, matching the peak in ocean productivity. The Fiordland penguin Eudyptes pachyrhynchus is one of only 34 seabird species worldwide that have part of their breeding cycle during the winter, and its chicks fledge when the eggs of congeneric Eudyptes species in the same region are only starting to hatch. Little is known of the foraging ecology of this species and the factors that may influence its timing of breeding. In the present study, the foraging behaviour of breeding individuals from Taumaka/Open Bay Island, New Zealand, was investigated using GPS, dive recorder and tri-axis accelerometer data loggers. In total, 35 individuals (4 males, 31 females) were tracked at sea, revealing extensive use of continental shelf slope (200-1000 m) habitat within 42 +/- 5 km of the colony. Individuals foraged mostly during daylight in the epi-pelagic zone (mean modal depth 22 +/- 2 m) and prey encounter events occurred in 50% of dives. Blood isotopic signatures suggest a trophic level indicative of squid consumption, supporting previous findings that winter-spawning squid are the most important prey type. The results of the present study suggest that a winter-breeding strategy by seabirds can reflect locally abundant prey resources and suitable conditions at the time for breeding.";"Foraging behaviour; Winter breeding; Bio-logging; Prey encounter; Eudyptes pachyrhynchus; New Zealand";2019;"MARINE ECOLOGY PROGRESS SERIES";"Ecology; Marine & Freshwater Biology; Oceanography";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"REF0008";"WOS:000460047000011";"10.1080/07420528.2019.1566740";"Bian, J ; Wang, ZX ; Dong, YL ; Cao, J ; Chen, YX";"Effect of pinealectomy on the circadian clock of the chick retina under different monochromatic lights";"The avian circadian rhythm pacemaker is composed of the retina, pineal gland and suprachiasmatic nucleus. As an intact input-pacemaker-output system, each of these structures is linked within a neuroendocrine loop to influence downstream processes and peripheral oscillations. While our previous study found that monochromatic light affected the circadian rhythms of clock genes in the chick retina, the effect of the pineal gland on the response of the retinal circadian clock under monochromatic light still remains unclear. In this study, a total of 144 chicks, including sham-operated and pinealectomized groups, were exposed to white, red, green or blue light. After 2 weeks of light illumination, the circadian expression of six core clock genes (cClock, cBmal1, cCry1, cCry2, cPer2 and cPer3), melanopsin (cOpn4-1, cOpn4-2), Arylalkylamine N-acetyltransferase (cAanat) and melatonin was examined in the retina. The cBmal1, cCry1, cPer2, cPer3, cOpn4-1, cOpn4-2 and cAanat genes as well as melatonin had circadian rhythmic expression in both the sham-operated and pinealectomized groups under different monochromatic lights, while cClock and cCry2 had arrhythmic 24 h profiles in all of the light-treated groups. After pinealectomy, the rhythmicity of the clock genes, melanopsins, cAanat and melatonin in the chick retina did not change, especially the mesors, amplitudes and phases of cBmal1, cOpn4-1, cOpn4-2, cAanat and melatonin. Compared to the white light group, however, green light increased the mRNA expression of the positive-regulating clock genes cBmal1, cAanat, cOpn4-1 and cOpn4-2 as well as the melatonin content in pinealectomized chicks, whereas red light decreased their expression. These results suggest that the chick retina is a relatively independent circadian oscillator from the pineal gland, whose circadian rhythmicity (including photoreception, molecular clock and melatonin output) is not altered after pinealectomization. Moreover, green light increases ocular cAanat expression and melatonin synthesis by accelerating the expression of melanopsin and positive-regulating clock genes cBmal1 and cClock.";"Pinealectomy; circadian clock gene; melatonin; monochromatic light; retina; chick";2019;"CHRONOBIOLOGY INTERNATIONAL";"Biology; Physiology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"REF0009";"WOS:000463679600057";"10.1021/acs.est.8b07062";"Bean, TG ; Gross, MS ; Karouna-Renier, NK ; Henry, PFP ; Schultz, SL ; Hladik, ML ; Kuivila, KM ; Rattner, BA";"Toxicokinetics of Imidacloprid-Coated Wheat Seeds in Japanese Quail (Coturnix japonica) and an Evaluation of Hazard";"Birds are potentially exposed to neonicotinoid insecticides by ingestion of coated seeds during crop planting. Adult male Japanese quail were orally dosed with wheat seeds coated with an imidacloprid (IMI) formulation at either 0.9 or 2.7 mg/kg body weight (BW) (similar to 3 and 9% of IMI LDSO for Japanese quail, respectively) for 1 or 10 days. Quail were euthanized between 1 and 24 h postexposure to assess toxicokinetics. Analysis revealed rapid absorption (1 h) into blood and distribution to the brain, muscle, kidney, and liver. Clearance to below detection limits occurred at both dose levels and exposure durations in all tissues within 24 h. Metabolism was extensive, with 5-OH-IMI and IMI-olefin detected at greater concentrations than IMI in tissues and fecal samples. There was no lethality or overt signs of toxicity at either dose level. Furthermore, no evidence of enhanced expression of mRNA genes associated with hepatic xenobiotic metabolism, oxidative DNA damage, or alterations in concentrations of corticosterone and thyroid hormones was observed. Application of the toxicokinetic data was used to predict IMI residue levels in the liver with reasonable results for some field exposure and avian mortality events. It would appear that some affected species of birds are either consuming larger quantities of seeds or exhibit differences in ADME or sensitivity than predicted by read-across from these data.";NA;2019;"ENVIRONMENTAL SCIENCE & TECHNOLOGY";"Engineering, Environmental; Environmental Sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"REF0010";"WOS:000475972600009";"10.1093/auk/ukz009";"Duca, C ; Brunelli, WA ; Doherty, PF";"Predator search image and the dilution effect: When is the best time to nest?";"The predator search image hypothesis predicts that predators will focus on prey that are abundant and with which they have had success. However, the predator dilution effect hypothesis predicts a decrease in the per capita chance of being depredated with an increasing amount of prey. We evaluated these hypotheses through an artificial nest survival study. We estimated nest survival during both the non-breeding and breeding seasons of 2014 at a restinga (sand-coastal-plain) area in southeastern Brazil. We installed 450 artificial nests (cup shaped) in each season and placed a Common quail (Coturnix coturnix) egg in each nest, totaling 900 nests. During the non-breeding season, our nests were the only ones present and thus the predator dilution effect should be absent. We estimated daily survival rate (DSR) using the ""Nest Survival"" function in the program MARK. We found a decrease in DSR at the middle and end in comparison with the onset of the non-breeding season, which supports the predator search image hypothesis. In comparison with the non-breeding season, we also found that DSR of artificial nests was lower at the onset and end of the breeding season, but higher in the middle of the breeding season. This pattern matched the higher availability of prey (i.e. natural nests) in the middle of the breeding season in the study site, supporting the dilution effect hypothesis. The survival rate of artificial nests suggests that both the search image and the dilution effect may occur during the breeding season, and that the predator dilution effect masks the predator search image in the middle of the breeding season. Our results expand our understanding regarding the effects of the search image and predator dilution effect hypotheses on nest predation, showing that both are density-dependent and may occur during the breeding season.";"artificial nests; breeding success; density-dependent predation; Neotropical; restinga";2019;"AUK";"Ornithology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
