"Var1" "Freq"
"1" "12th international symposium on wild boar and other suids" 1
"2" "2016 3rd international conference on chemical and food engineering" 1
"3" "23rd tall timbers fire ecology conference fire in grassland and shrubland ecosystems" 1
"4" "6th international conference on biological science icbs 2019 - biodiversity as a cornerstone for embracing future humanity" 2
"5" "acta amazonica" 1
"6" "acta biologica hungarica" 1
"7" "acta oecologica-international journal of ecology" 6
"8" "acta oecologica-oecologia applicata" 1
"9" "acta ornithologica" 12
"10" "acta parasitologica" 1
"11" "acta theriologica" 1
"12" "acta zoologica" 1
"13" "acta zoologica academiae scientiarum hungaricae" 4
"14" "acta zoologica bulgarica" 8
"15" "acta zoologica sinica" 4
"16" "advanced science letters" 1
"17" "advancements in life sciences" 1
"18" "advances in ecological research vol 40 high-arctic ecosystem dynamics in a changing climate" 2
"19" "african journal of ecology" 5
"20" "african journal of science technology innovation  development" 1
"21" "african journal of wildlife research" 1
"22" "african zoology" 1
"23" "agriculture ecosystems  environment" 4
"24" "aims environmental science" 1
"25" "ambio" 3
"26" "american midland naturalist" 27
"27" "american museum novitates" 1
"28" "american naturalist" 15
"29" "american zoologist" 9
"30" "anais da academia brasileira de ciencias" 1
"31" "animal behaviour" 108
"32" "animal biodiversity and conservation" 10
"33" "animal biology" 2
"34" "animal cognition" 21
"35" "animal conservation" 12
"36" "animal learning  behavior" 5
"37" "animal physiology 2016" 1
"38" "animal reproduction" 1
"39" "animal reproduction science" 18
"40" "animal welfare" 11
"41" "annales zoologici fennici" 11
"42" "annals of the new york academy of sciences" 1
"43" "antarctic science" 2
"44" "anthropozoologica" 1
"45" "anzeiger fur schadlingskunde pflanzenschutz umweltschutz" 1
"46" "aob plants" 1
"47" "applied animal behaviour science" 52
"48" "aquatic conservation-marine and freshwater ecosystems" 1
"49" "archives of biological sciences" 1
"50" "archives of environmental contamination and toxicology" 29
"51" "arctic" 23
"52" "arctic science" 3
"53" "ardea" 12
"54" "ardeola" 2
"55" "ardeola-international journal of ornithology" 4
"56" "arthropod-plant interactions" 1
"57" "asia life sciences" 1
"58" "atti della accademia nazionale dei lincei rendiconti-classe di scienze fisiche-matematiche  naturali" 2
"59" "auk" 50
"60" "austral ecology" 2
"61" "australian journal of ecology" 1
"62" "australian journal of zoology" 2
"63" "australian wildlife research" 1
"64" "avian biology research" 19
"65" "avian conservation and ecology" 9
"66" "avian landscape ecology pure and applied issues in the large-scale ecology of birds" 2
"67" "avian reproduction from behavior to molecules" 2
"68" "avian research" 13
"69" "basic and applied ecology" 2
"70" "behavior genetics" 2
"71" "behavioral and morphological asymmetries in vertebrates" 1
"72" "behavioral and neural biology" 2
"73" "behavioral biology" 3
"74" "behavioral ecology" 35
"75" "behavioral ecology and sociobiology" 22
"76" "behavioral neurobiology of birdsong" 1
"77" "behavioral neuroscience" 2
"78" "behaviour" 21
"79" "behavioural brain research" 22
"80" "behavioural processes" 33
"81" "bioacoustics-the international journal of animal sound and its recording" 1
"82" "biodiversity and conservation" 12
"83" "bioelectromagnetics" 1
"84" "biologia" 6
"85" "biological bulletin of bogdan chmelnitskiy melitopol state pedagogical university" 1
"86" "biological conservation" 53
"87" "biological invasions" 5
"88" "biological journal of the linnean society" 5
"89" "biological psychology" 1
"90" "biological reviews" 3
"91" "biological rhythm research" 6
"92" "biology bulletin" 8
"93" "biology letters" 11
"94" "biology of behaviour" 3
"95" "biology of reproduction" 11
"96" "biology open" 4
"97" "biometrics" 1
"98" "bioscience" 1
"99" "bioscience research" 1
"100" "biosystems diversity" 2
"101" "biota neotropica" 1
"102" "biotropica" 1
"103" "bird-banding" 1
"104" "bird conservation international" 18
"105" "bird hormones and bird migrations analyzing hormones in droppings and egg yolks and assessing adaptations in long-distance migration" 1
"106" "bird study" 44
"107" "birds in the boreal forest" 1
"108" "birth defects research part c-embryo today-reviews" 1
"109" "bmc biology" 1
"110" "bmc ecology" 3
"111" "bmc evolutionary biology" 3
"112" "boletim do instituto de pesca" 1
"113" "bollettino di zoologia" 4
"114" "brain behavior and evolution" 4
"115" "brazilian archives of biology and technology" 1
"116" "brazilian journal of biology" 6
"117" "brazilian journal of medical and biological research" 3
"118" "brimleyana" 1
"119" "bulgarian journal of agricultural science" 1
"120" "bulletin de la societe zoologique de france-evolution et zoologie" 2
"121" "bulletin of environmental contamination and toxicology" 8
"122" "bulletin of the national academy of sciences of the republic of kazakhstan" 1
"123" "caldasia" 1
"124" "california fish and game" 1
"125" "camera trapping wildlife management and research" 1
"126" "canadian field-naturalist" 16
"127" "canadian journal of zoology" 26
"128" "canadian journal of zoology-revue canadienne de zoologie" 31
"129" "canadian journal of zoology - back year project" 1
"130" "central european journal of biology" 1
"131" "chemical senses" 1
"132" "chemoecology" 2
"133" "chemosphere" 12
"134" "chiang mai journal of science" 1
"135" "chronobiologia" 2
"136" "chronobiology international" 6
"137" "cienciauat" 1
"138" "climate change and rocky mountain ecosystems" 1
"139" "climate research" 2
"140" "climatic change" 1
"141" "colonial waterbirds" 1
"142" "communications biology" 1
"143" "comparative biochemistry and physiology a-molecular  integrative physiology" 66
"144" "comparative biochemistry and physiology a-molecular and integrative physiology" 3
"145" "comparative biochemistry and physiology a-physiology" 19
"146" "comparative biochemistry and physiology b-biochemistry  molecular biology" 18
